hour,wind_3,wind_5,wind_7,wind_16,wind_21,wind_23
0,125.7542,102.4612,137.988,76.171,106.6114,130.4886
1,126.89600000000002,118.364,140.7492,74.8852,109.836,127.829
2,128.9644,129.6052,140.5418,75.32520000000001,107.52159999999999,125.18039999999999
3,129.51600000000002,143.3058,139.2758,79.9596,108.4366,124.357
4,133.6364,144.0378,136.5176,83.73519999999999,111.4346,123.94019999999999
5,138.5874,144.867,133.1228,87.9224,107.4104,123.5562
6,137.2778,139.92759999999998,137.302,92.00359999999999,109.4128,122.06459999999998
7,137.3152,131.088,147.1054,96.1806,119.82539999999999,124.2862
8,138.106,125.5408,153.735,98.5924,122.629,126.073
9,136.1876,126.54639999999999,156.6498,101.369,125.79599999999999,124.2154
10,132.5722,125.9078,156.9232,96.6762,129.76080000000002,121.822
11,130.5012,121.69200000000001,155.2022,86.3406,128.3778,119.8752
12,127.40100000000001,113.5826,151.2282,69.1062,121.6154,115.6202
13,122.4756,104.23500000000001,145.9682,54.6068,112.06259999999999,109.1836
14,114.79079999999999,95.4102,139.2834,44.846399999999996,99.54180000000001,101.33939999999998
15,102.3104,87.0744,129.1242,36.0762,85.613,94.7884
16,83.1944,77.3244,113.442,31.5348,79.8048,90.6832
17,66.005,66.56840000000001,99.1676,31.398,76.9558,86.58019999999999
18,56.8494,64.45100000000001,84.63199999999999,33.484,65.02,81.3716
19,56.2412,62.8074,73.5636,39.4244,58.096599999999995,73.3128
20,60.300200000000004,61.1642,63.368,45.2144,60.07900000000001,65.2474
21,64.74879999999999,59.989599999999996,55.4766,47.9904,64.6024,56.504
22,71.2714,54.102399999999996,48.004599999999996,48.8624,69.266,47.8738
23,85.4486,47.659600000000005,41.0522,49.806400000000004,71.03920000000001,41.086800000000004
