hour,cf_3,cf_5,cf_7,cf_16,cf_21,cf_23
0,0.628771,0.512306,0.68994,0.380855,0.533057,0.652443
1,0.63448,0.59182,0.703746,0.374426,0.54918,0.639145
2,0.644822,0.648026,0.702709,0.376626,0.537608,0.625902
3,0.64758,0.716529,0.696379,0.399798,0.542183,0.621785
4,0.668182,0.720189,0.682588,0.418676,0.557173,0.619701
5,0.692937,0.724335,0.665614,0.439612,0.537052,0.617781
6,0.686389,0.699638,0.68651,0.460018,0.547064,0.610323
7,0.686576,0.65544,0.735527,0.480903,0.599127,0.621431
8,0.69053,0.627704,0.768675,0.492962,0.613145,0.630365
9,0.680938,0.632732,0.783249,0.506845,0.62898,0.621077
10,0.662861,0.629539,0.784616,0.483381,0.648804,0.60911
11,0.652506,0.60846,0.776011,0.431703,0.641889,0.599376
12,0.637005,0.567913,0.756141,0.345531,0.608077,0.578101
13,0.612378,0.521175,0.729841,0.273034,0.560313,0.545918
14,0.573954,0.477051,0.696417,0.224232,0.497709,0.506697
15,0.511552,0.435372,0.645621,0.180381,0.428065,0.473942
16,0.415972,0.386622,0.56721,0.157674,0.399024,0.453416
17,0.330025,0.332842,0.495838,0.15699,0.384779,0.432901
18,0.284247,0.322255,0.42316,0.16742,0.3251,0.406858
19,0.281206,0.314037,0.367818,0.197122,0.290483,0.366564
20,0.301501,0.305821,0.31684,0.226072,0.300395,0.326237
21,0.323744,0.299948,0.277383,0.239952,0.323012,0.28252
22,0.356357,0.270512,0.240023,0.244312,0.34633,0.239369
23,0.427243,0.238298,0.205261,0.249032,0.355196,0.205434
